folder,file,# refinements, synthesis time
zippers,sum.pmrs,2,0.0523s
zippers,height.pmrs,1,0.5865s
zippers,maxPathWeight.pmrs,2,0.0841s
zippers,maxPathWeight2.pmrs,1,0.0100s
ptree,sum.pmrs,2,0.0652s
ptree,mul.pmrs,2,0.1515s
tree,sumtree.pmrs,2,0.0395s
tree,maxtree.pmrs,1,0.0837s
tree,mintree.pmrs,1,0.0090s
tree,maxtree2.pmrs,1,0.0198s
tree,maxPathWeight.pmrs,3,0.0723s
list,sumhom.pmrs,1,0.0189s
list,lenhom.pmrs,1,0.0350s
list,prodhom.pmrs,1,0.0195s
list,polyhom.pmrs,1,0.2631s
list,hamming.pmrs,1,0.0313s
list,maxhom.pmrs,1,0.0167s
list,minhom.pmrs,1,0.0167s
list,mtshom.pmrs,1,0.9164s
list,mpshom.pmrs,1,0.4065s
list,mts_and_mps_hom.pmrs,1,3.3040s
list,issorted.pmrs,2,3.1222s
tree,sorted.pmrs,1,41.1767s
tree,mips.pmrs,2,52.4890s
tree,mpps.pmrs,2,71.0860s
