folder,file,# refinements, synthesis time
zippers,sum.pmrs,2,0.0402s
zippers,height.pmrs,1,0.5582s
zippers,maxPathWeight.pmrs,2,0.0627s
zippers,maxPathWeight2.pmrs,1,0.5685s
ptree,sum.pmrs,2,0.0638s
ptree,mul.pmrs,2,0.1477s
tree,sumtree.pmrs,2,0.1488s
tree,maxtree.pmrs,1,0.8366s
tree,mintree.pmrs,1,0.1542s
tree,maxtree2.pmrs,1,1.6005s
tree,sorted.pmrs,1,41.2418s
tree,maxPathWeight.pmrs,3,0.8090s
list,sumhom.pmrs,1,0.0468s
list,lenhom.pmrs,1,0.0391s
list,prodhom.pmrs,1,0.0425s
list,polyhom.pmrs,1,0.2582s
list,maxhom.pmrs,1,0.0542s
list,minhom.pmrs,1,0.0856s
list,issorted.pmrs,2,3.3130s
list,mtshom.pmrs,1,1.4771s
list,mpshom.pmrs,1,0.4022s
list,mts_and_mps_hom.pmrs,1,3.2638s
